xi,v2_xi,absF,reF,imF
53,0,4.982461734693873e-06,-4.9660041414366184e-06,4.046329261479212e-07
54,1,4.982461734693873e-06,-4.965377599801468e-06,4.1225020203571244e-07
55,0,4.982461734693873e-06,-4.964739374153189e-06,4.198665078589565e-07
56,3,4.982461734693819e-06,-4.964089465993534e-06,4.274818256957454e-07
57,0,4.982461734693872e-06,-4.963427876851961e-06,4.350961376265147e-07
58,1,4.982461734693872e-06,-4.962754608285091e-06,4.4270942573403886e-07
59,0,4.982461734693871e-06,-4.962069661877244e-06,4.5032167210352013e-07
60,2,4.98246173469387e-06,-4.961373039240167e-06,4.5793285882260766e-07
61,0,4.982461734693871e-06,-4.960664742013079e-06,4.655429679814438e-07
62,1,4.98246173469387e-06,-4.959944771862671e-06,4.731519816727066e-07
63,0,4.982461734693871e-06,-4.959213130483104e-06,4.807598819916518e-07
64,6,4.9824617346936e-06,-4.95846981959573e-06,4.883666510361286e-07
65,0,4.98246173469387e-06,-4.95771484095044e-06,4.959722709067544e-07
66,1,4.98246173469387e-06,-4.956948196322964e-06,5.03576723706691e-07
67,0,4.98246173469387e-06,-4.95616988751756e-06,5.111799915419532e-07
68,2,4.98246173469387e-06,-4.955379916365663e-06,5.187820565213173e-07
69,0,4.9824617346938695e-06,-4.9545782847261516e-06,5.263829007563899e-07
70,1,4.9824617346938695e-06,-4.953764994485344e-06,5.339825063616505e-07
71,0,4.9824617346938695e-06,-4.952940047556988e-06,5.41580855454493e-07
72,3,4.982461734693815e-06,-4.952103445882213e-06,5.49177930155262e-07
73,0,4.9824617346938695e-06,-4.951255191429782e-06,5.567737125873249e-07
74,1,4.982461734693869e-06,-4.95039528619556e-06,5.643681848770537e-07
75,0,4.982461734693869e-06,-4.94952373220304e-06,5.719613291539278e-07
76,2,4.982461734693869e-06,-4.948640531503073e-06,5.795531275505451e-07
77,0,4.982461734693869e-06,-4.947745686173916e-06,5.871435622026706e-07
78,1,4.982461734693869e-06,-4.946839198321226e-06,5.947326152492785e-07
79,0,4.982461734693869e-06,-4.9459210700780566e-06,6.023202688325937e-07
80,4,4.9824617346938145e-06,-4.944991303604798e-06,6.099065050981279e-07
81,0,4.982461734693868e-06,-4.9440499010894425e-06,6.174913061947543e-07
82,1,4.982461734693868e-06,-4.94309686474704e-06,6.250746542746832e-07
83,0,4.982461734693867e-06,-4.942132196820229e-06,6.326565314935707e-07
84,2,4.982461734693866e-06,-4.941155899578969e-06,6.402369200105276e-07
85,0,4.982461734693867e-06,-4.940167975320581e-06,6.478158019881671e-07
86,1,4.982461734693867e-06,-4.939168426369745e-06,6.55393159592648e-07
87,0,4.982461734693867e-06,-4.938157255078497e-06,6.629689749937159e-07
88,3,4.982461734693812e-06,-4.937134463826167e-06,6.705432303647382e-07
89,0,4.982461734693866e-06,-4.936100055019643e-06,6.78115907882782e-07
90,1,4.982461734693866e-06,-4.935054031092827e-06,6.856869897285839e-07
91,0,4.982461734693866e-06,-4.9339963945071685e-06,6.932564580866644e-07
92,2,4.982461734693865e-06,-4.932927147751389e-06,7.008242951453329e-07
93,0,4.982461734693865e-06,-4.931846293341528e-06,7.083904830967381e-07
94,1,4.9824617346938644e-06,-4.930753833820942e-06,7.159550041369086e-07
95,0,4.982461734693865e-06,-4.929649771760293e-06,7.235178404657959e-07
96,5,4.982461734693593e-06,-4.928534109757277e-06,7.310789742872758e-07
97,0,4.9824617346938644e-06,-4.927406850437961e-06,7.386383878093891e-07
98,1,4.9824617346938644e-06,-4.926267996454088e-06,7.461960632439866e-07
99,0,4.982461734693864e-06,-4.92511755048576e-06,7.537519828071676e-07
100,2,4.9824617346938644e-06,-4.923955515240089e-06,7.613061287191237e-07
101,0,4.9824617346938644e-06,-4.922781893451456e-06,7.688584832042195e-07
102,1,4.9824617346938644e-06,-4.921596687881505e-06,7.764090284910354e-07
103,0,4.9824617346938644e-06,-4.92039990131914e-06,7.839577468124093e-07
104,3,4.982461734693809e-06,-4.9191915365804616e-06,7.915046204054688e-07
105,0,4.982461734693864e-06,-4.91797159650903e-06,7.990496315117176e-07
106,1,4.982461734693864e-06,-4.916740083975321e-06,8.065927623769897e-07
107,0,4.982461734693864e-06,-4.915497001877255e-06,8.14133995251578e-07
108,2,4.9824617346938644e-06,-4.914242353139927e-06,8.216733123902334e-07
109,0,4.9824617346938644e-06,-4.912976140715645e-06,8.292106960522142e-07
110,1,4.982461734693864e-06,-4.911698367583928e-06,8.367461285013285e-07
111,0,4.9824617346938644e-06,-4.910409036751502e-06,8.442795920059759e-07
112,4,4.982461734693809e-06,-4.909108151252231e-06,8.518110688391801e-07
113,0,4.982461734693864e-06,-4.9077957141473864e-06,8.59340541278676e-07
114,1,4.982461734693864e-06,-4.906471728525099e-06,8.668679916068601e-07
115,0,4.982461734693864e-06,-4.905136197500888e-06,8.743934021109237e-07
116,2,4.982461734693864e-06,-4.903789124217386e-06,8.819167550828489e-07
117,0,4.982461734693863e-06,-4.902430511844388e-06,8.894380328194598e-07
118,1,4.982461734693863e-06,-4.901060363578839e-06,8.969572176224632e-07
119,0,4.982461734693862e-06,-4.899678682644831e-06,9.044742917984909e-07
120,3,4.9824617346938085e-06,-4.89828547229354e-06,9.119892376591312e-07
121,0,4.982461734693863e-06,-4.896880735803483e-06,9.195020375210206e-07
122,1,4.982461734693863e-06,-4.8954644764799825e-06,9.270126737057852e-07
123,0,4.982461734693862e-06,-4.894036697655684e-06,9.345211285401829e-07
124,2,4.982461734693862e-06,-4.892597402690291e-06,9.42027384356094e-07
125,0,4.982461734693862e-06,-4.891146594970604e-06,9.495314234905734e-07
